row,name,acronym,id,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure
298,"Retrosplenial area, lateral agranular part",RSPagl,894,394,254,Retrosplenial area,RSP,0
299,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,671,932,894,"Retrosplenial area, lateral agranular part",RSPagl,32392
300,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,965,969,894,"Retrosplenial area, lateral agranular part",RSPagl,42857
301,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,774,945,894,"Retrosplenial area, lateral agranular part",RSPagl,46896
302,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,906,820,894,"Retrosplenial area, lateral agranular part",RSPagl,26287
303,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,279,883,894,"Retrosplenial area, lateral agranular part",RSPagl,2311
304,Mediomedial anterior visual area,VISmma,480149258,,894,,,0
305,"Mediomedial anterior visual area, layer 1",VISmma1,480149262,,480149258,,,0
306,"Mediomedial anterior visual area, layer 2/3",VISmma2/3,480149266,,480149258,,,0
307,"Mediomedial anterior visual area, layer 4",VISmma4,480149270,,480149258,,,0
308,"Mediomedial anterior visual area,layer 5",VISmma5,480149274,,480149258,,,0
309,"Mediomedial anterior visual area, layer 6a",VISmma6a,480149278,,480149258,,,0
310,"Mediomedial anterior visual area, layer 6b",VISmma6b,480149282,,480149258,,,0
311,Mediomedial posterior visual area,VISmmp,480149286,,894,,,0
312,"Mediomedial posterior visual area, layer 1",VISmmp1,480149290,,480149286,,,0
313,"Mediomedial posterior visual area, layer 2/3",VISmmp2/3,480149294,,480149286,,,0
314,"Mediomedial posterior visual area, layer 4",VISmmp4,480149298,,480149286,,,0
315,"Mediomedial posterior visual area,layer 5",VISmmp5,480149302,,480149286,,,0
316,"Mediomedial posterior visual area, layer 6a",VISmmp6a,480149306,,480149286,,,0
317,"Mediomedial posterior visual area, layer 6b",VISmmp6b,480149310,,480149286,,,0
318,Medial visual area,VISm,480149314,,894,,,0
319,"Medial visual area, layer 1",VISm1,480149318,,480149314,,,0
320,"Medial visual area, layer 2/3",VISm2/3,480149322,,480149314,,,0
321,"Medial visual area, layer 4",VISm4,480149326,,480149314,,,0
322,"Medial visual area,layer 5",VISm5,480149330,,480149314,,,0
323,"Medial visual area, layer 6a",VISm6a,480149334,,480149314,,,0
324,"Medial visual area, layer 6b",VISm6b,480149338,,480149314,,,0
325,"Retrosplenial area, dorsal part",RSPd,879,392,254,Retrosplenial area,RSP,0
326,"Retrosplenial area, dorsal part, layer 1",RSPd1,442,1045,879,"Retrosplenial area, dorsal part",RSPd,52969
327,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,434,761,879,"Retrosplenial area, dorsal part",RSPd,62330
328,"Retrosplenial area, dorsal part, layer 4",RSPd4,545,1058,879,"Retrosplenial area, dorsal part",RSPd,0
329,"Retrosplenial area, dorsal part, layer 5",RSPd5,610,1066,879,"Retrosplenial area, dorsal part",RSPd,77137
330,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,274,1024,879,"Retrosplenial area, dorsal part",RSPd,48445
331,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,330,1031,879,"Retrosplenial area, dorsal part",RSPd,2047
332,"Retrosplenial area, ventral part",RSPv,886,393,254,Retrosplenial area,RSP,0
333,"Retrosplenial area, ventral part, layer 1",RSPv1,542,633,886,"Retrosplenial area, ventral part",RSPv,60568
334,"Retrosplenial area, ventral part, layer 2",RSPv2,606,641,886,"Retrosplenial area, ventral part",RSPv,0
335,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,430,619,886,"Retrosplenial area, ventral part",RSPv,65218
336,"Retrosplenial area, ventral part, layer 5",RSPv5,687,651,886,"Retrosplenial area, ventral part",RSPv,107310
337,"Retrosplenial area, ventral part, layer 6a",RSPv6a,590,639,886,"Retrosplenial area, ventral part",RSPv,42175
338,"Retrosplenial area, ventral part, layer 6b",RSPv6b,622,643,886,"Retrosplenial area, ventral part",RSPv,3121
339,Posterior parietal association areas,PTLp,22,285,315,Isocortex,Isocortex,0
340,"Posterior parietal association areas, layer 1",PTLp1,532,1056,22,Posterior parietal association areas,PTLp,0
341,"Posterior parietal association areas, layer 2/3",PTLp2/3,241,454,22,Posterior parietal association areas,PTLp,0
342,"Posterior parietal association areas, layer 4",PTLp4,635,1069,22,Posterior parietal association areas,PTLp,0
343,"Posterior parietal association areas, layer 5",PTLp5,683,1075,22,Posterior parietal association areas,PTLp,0
344,"Posterior parietal association areas, layer 6a",PTLp6a,308,1028,22,Posterior parietal association areas,PTLp,0
345,"Posterior parietal association areas, layer 6b",PTLp6b,340,1032,22,Posterior parietal association areas,PTLp,0
346,Anterior area,VISa,312782546,,22,,,0
347,"Anterior area, layer 1",VISa1,312782550,,312782546,,,0
348,"Anterior area, layer 2/3",VISa2/3,312782554,,312782546,,,0
349,"Anterior area, layer 4",VISa4,312782558,,312782546,,,0
350,"Anterior area, layer 5",VISa5,312782562,,312782546,,,0
351,"Anterior area, layer 6a",VISa6a,312782566,,312782546,,,0
352,"Anterior area, layer 6b",VISa6b,312782570,,312782546,,,0
353,Rostrolateral visual area,VISrl,417,759,22,Posterior parietal association areas,PTLp,0
354,"Rostrolateral area, layer 1",VISrl1,312782604,,417,,,0
355,"Rostrolateral area, layer 2/3",VISrl2/3,312782608,,417,,,0
356,"Rostrolateral area, layer 4",VISrl4,312782612,,417,,,0
357,"Rostrolateral area, layer 5",VISrl5,312782616,,417,,,0
358,"Rostrolateral area, layer 6a",VISrl6a,312782620,,417,,,0
359,"Rostrolateral area, layer 6b",VISrl6b,312782624,,417,,,76472
360,Temporal association areas,TEa,541,350,315,Isocortex,Isocortex,0
361,"Temporal association areas, layer 1",TEa1,97,1002,541,Temporal association areas,TEa,34006
362,"Temporal association areas, layer 2/3",TEa2/3,1127,706,541,Temporal association areas,TEa,44795
363,"Temporal association areas, layer 4",TEa4,234,1019,541,Temporal association areas,TEa,19976
364,"Temporal association areas, layer 5",TEa5,289,1026,541,Temporal association areas,TEa,60878
365,"Temporal association areas, layer 6a",TEa6a,729,1081,541,Temporal association areas,TEa,33590
366,"Temporal association areas, layer 6b",TEa6b,786,1088,541,Temporal association areas,TEa,5556
367,Perirhinal area,PERI,922,256,315,Isocortex,Isocortex,0
368,"Perirhinal area, layer 1",PERI1,540,1057,922,Perirhinal area,PERI,14224
369,"Perirhinal area, layer 2/3",PERI2/3,888,959,922,Perirhinal area,PERI,21305
370,"Perirhinal area, layer 5",PERI5,692,1076,922,Perirhinal area,PERI,10756
371,"Perirhinal area, layer 6a",PERI6a,335,890,922,Perirhinal area,PERI,3437
372,"Perirhinal area, layer 6b",PERI6b,368,894,922,Perirhinal area,PERI,843
373,Ectorhinal area,ECT,895,111,315,Isocortex,Isocortex,0
374,Ectorhinal area/Layer 1,ECT1,836,1094,895,Ectorhinal area,ECT,16685
375,Ectorhinal area/Layer 2/3,ECT2/3,427,1043,895,Ectorhinal area,ECT,30445
376,Ectorhinal area/Layer 5,ECT5,988,1113,895,Ectorhinal area,ECT,33862
377,Ectorhinal area/Layer 6a,ECT6a,977,1112,895,Ectorhinal area,ECT,24962
378,Ectorhinal area/Layer 6b,ECT6b,1045,1120,895,Ectorhinal area,ECT,3606
379,Olfactory areas,OLF,698,228,695,Cortical plate,CTXpl,321881
380,Main olfactory bulb,MOB,507,204,698,Olfactory areas,OLF,1053648
381,"Main olfactory bulb, glomerular layer",MOBgl,212,733,507,Main olfactory bulb,MOB,0
382,"Main olfactory bulb, granule layer",MOBgr,220,734,507,Main olfactory bulb,MOB,0
383,"Main olfactory bulb, inner plexiform layer",MOBipl,228,735,507,Main olfactory bulb,MOB,0
384,"Main olfactory bulb, mitral layer",MOBmi,236,736,507,Main olfactory bulb,MOB,0
385,"Main olfactory bulb, outer plexiform layer",MOBopl,244,737,507,Main olfactory bulb,MOB,0
386,Accessory olfactory bulb,AOB,151,18,698,Olfactory areas,OLF,0
387,"Accessory olfactory bulb, glomerular layer",AOBgl,188,730,151,Accessory olfactory bulb,AOB,9886
388,"Accessory olfactory bulb, granular layer",AOBgr,196,731,151,Accessory olfactory bulb,AOB,14107
389,"Accessory olfactory bulb, mitral layer",AOBmi,204,732,151,Accessory olfactory bulb,AOB,17705
390,Anterior olfactory nucleus,AON,159,19,698,Olfactory areas,OLF,311661
391,"Anterior olfactory nucleus, dorsal part",AONd,167,20,159,Anterior olfactory nucleus,AON,0
392,"Anterior olfactory nucleus, external part",AONe,175,21,159,Anterior olfactory nucleus,AON,0
393,"Anterior olfactory nucleus, lateral part",AONl,183,22,159,Anterior olfactory nucleus,AON,0
394,"Anterior olfactory nucleus, medial part",AONm,191,23,159,Anterior olfactory nucleus,AON,0
395,"Anterior olfactory nucleus, posteroventral part",AONpv,199,24,159,Anterior olfactory nucleus,AON,0
396,"Anterior olfactory nucleus, layer 1",AON1,160,868,159,Anterior olfactory nucleus,AON,0
397,"Anterior olfactory nucleus, layer 2",AON2,168,869,159,Anterior olfactory nucleus,AON,0
398,Taenia tecta,TT,589,356,698,Olfactory areas,OLF,0
399,"Taenia tecta, dorsal part",TTd,597,357,589,Taenia tecta,TT,46375
400,"Taenia tecta, dorsal part, layers 1-4",TTd1-4,297,744,597,"Taenia tecta, dorsal part",TTd,0
401,"Taenia tecta, dorsal part, layer 1",TTd1,1034,836,597,"Taenia tecta, dorsal part",TTd,0
402,"Taenia tecta, dorsal part, layer 2",TTd2,1042,837,597,"Taenia tecta, dorsal part",TTd,0
403,"Taenia tecta, dorsal part, layer 3",TTd3,1050,838,597,"Taenia tecta, dorsal part",TTd,0
404,"Taenia tecta, dorsal part, layer 4",TTd4,1059,839,597,"Taenia tecta, dorsal part",TTd,0
405,"Taenia tecta, ventral part",TTv,605,358,589,Taenia tecta,TT,46056
406,"Taenia tecta, ventral part, layers 1-3",TTv1-3,306,745,605,"Taenia tecta, ventral part",TTv,0
407,"Taenia tecta, ventral part, layer 1",TTv1,1067,840,605,"Taenia tecta, ventral part",TTv,0
408,"Taenia tecta, ventral part, layer 2",TTv2,1075,841,605,"Taenia tecta, ventral part",TTv,0
409,"Taenia tecta, ventral part, layer 3",TTv3,1082,842,605,"Taenia tecta, ventral part",TTv,0
410,Dorsal peduncular area,DP,814,384,698,Olfactory areas,OLF,32116
411,"Dorsal peduncular area, layer 1",DP1,496,627,814,Dorsal peduncular area,DP,0
412,"Dorsal peduncular area, layer 2",DP2,535,632,814,Dorsal peduncular area,DP,0
413,"Dorsal peduncular area, layer 2/3",DP2/3,360,893,814,Dorsal peduncular area,DP,0
414,"Dorsal peduncular area, layer 5",DP5,646,646,814,Dorsal peduncular area,DP,0
415,"Dorsal peduncular area, layer 6a",DP6a,267,1023,814,Dorsal peduncular area,DP,0
416,Piriform area,PIR,961,261,698,Olfactory areas,OLF,740202
417,"Piriform area, layers 1-3",PIR1-3,152,867,961,Piriform area,PIR,0
418,"Piriform area, molecular layer",PIR1,276,741,961,Piriform area,PIR,0
419,"Piriform area, pyramidal layer",PIR2,284,742,961,Piriform area,PIR,0
420,"Piriform area, polymorph layer",PIR3,291,743,961,Piriform area,PIR,0
421,Nucleus of the lateral olfactory tract,NLOT,619,218,698,Olfactory areas,OLF,0
422,"Nucleus of the lateral olfactory tract, layers 1-3",NLOT1-3,392,897,619,Nucleus of the lateral olfactory tract,NLOT,0
423,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,260,739,619,Nucleus of the lateral olfactory tract,NLOT,7131
424,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,268,740,619,Nucleus of the lateral olfactory tract,NLOT,9563
425,"Nucleus of the lateral olfactory tract, layer 3",NLOT3,1139,1137,619,Nucleus of the lateral olfactory tract,NLOT,3701
426,Cortical amygdalar area,COA,631,78,698,Olfactory areas,OLF,0
427,"Cortical amygdalar area, anterior part",COAa,639,79,631,Cortical amygdalar area,COA,49142
428,"Cortical amygdalar area, anterior part, layer 1",COAa1,192,872,639,"Cortical amygdalar area, anterior part",COAa,0
429,"Cortical amygdalar area, anterior part, layer 2",COAa2,200,873,639,"Cortical amygdalar area, anterior part",COAa,0
430,"Cortical amygdalar area, anterior part, layer 3",COAa3,208,874,639,"Cortical amygdalar area, anterior part",COAa,0
431,"Cortical amygdalar area, posterior part",COAp,647,80,631,Cortical amygdalar area,COA,0
432,"Cortical amygdalar area, posterior part, lateral zone",COApl,655,81,647,"Cortical amygdalar area, posterior part",COAp,76930
433,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",COApl1-2,584,921,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0
434,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",COApl1-3,376,895,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0
435,"Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1,216,875,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0
436,"Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2,224,876,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0
437,"Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3,232,877,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,0
438,"Cortical amygdalar area, posterior part, medial zone",COApm,663,82,647,"Cortical amygdalar area, posterior part",COAp,82891
439,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",COApm1-2,592,922,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0
440,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",COApm1-3,383,896,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0
441,"Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1,240,878,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0
442,"Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2,248,879,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0
443,"Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3,256,880,663,"Cortical amygdalar area, posterior part, medial zone",COApm,0
444,Piriform-amygdalar area,PAA,788,239,698,Olfactory areas,OLF,76240
445,"Piriform-amygdalar area, layers 1-3",PAA1-3,400,898,788,Piriform-amygdalar area,PAA,0
446,"Piriform-amygdalar area, molecular layer",PAA1,408,899,788,Piriform-amygdalar area,PAA,0
447,"Piriform-amygdalar area, pyramidal layer",PAA2,416,900,788,Piriform-amygdalar area,PAA,0
448,"Piriform-amygdalar area, polymorph layer",PAA3,424,901,788,Piriform-amygdalar area,PAA,0
449,Postpiriform transition area,TR,566,353,698,Olfactory areas,OLF,89508
450,"Postpiriform transition area, layers 1-3",TR1-3,517,913,566,Postpiriform transition area,TR,0
451,"Postpiriform transition area, layers 1",TR1,1140,1138,566,Postpiriform transition area,TR,0
452,"Postpiriform transition area, layers 2",TR2,1141,1139,566,Postpiriform transition area,TR,0
453,"Postpiriform transition area, layers 3",TR3,1142,1140,566,Postpiriform transition area,TR,0
454,Hippocampal formation,HPF,1089,135,695,Cortical plate,CTXpl,26949
455,Hippocampal region,HIP,1080,134,1089,Hippocampal formation,HPF,0
456,Ammon's horn,CA,375,46,1080,Hippocampal region,HIP,0
457,Field CA1,CA1,382,47,375,Ammon's horn,CA,653391
458,"Field CA1, stratum lacunosum-moleculare",CA1slm,391,48,382,Field CA1,CA1,0
459,"Field CA1, stratum oriens",CA1so,399,49,382,Field CA1,CA1,0
460,"Field CA1, pyramidal layer",CA1sp,407,50,382,Field CA1,CA1,0
461,"Field CA1, stratum radiatum",CA1sr,415,51,382,Field CA1,CA1,0
462,Field CA2,CA2,423,52,375,Ammon's horn,CA,30421
463,"Field CA2, stratum lacunosum-moleculare",CA2slm,431,53,423,Field CA2,CA2,0
464,"Field CA2, stratum oriens",CA2so,438,54,423,Field CA2,CA2,0
465,"Field CA2, pyramidal layer",CA2sp,446,55,423,Field CA2,CA2,0
466,"Field CA2, stratum radiatum",CA2sr,454,56,423,Field CA2,CA2,0
467,Field CA3,CA3,463,57,375,Ammon's horn,CA,400885
468,"Field CA3, stratum lacunosum-moleculare",CA3slm,471,58,463,Field CA3,CA3,0
469,"Field CA3, stratum lucidum",CA3slu,479,59,463,Field CA3,CA3,0
470,"Field CA3, stratum oriens",CA3so,486,60,463,Field CA3,CA3,0
471,"Field CA3, pyramidal layer",CA3sp,495,61,463,Field CA3,CA3,0
472,"Field CA3, stratum radiatum",CA3sr,504,62,463,Field CA3,CA3,0
473,Dentate gyrus,DG,726,90,1080,Hippocampal region,HIP,0
474,"Dentate gyrus, molecular layer",DG-mo,10703,,726,,,275894
475,"Dentate gyrus, polymorph layer",DG-po,10704,,726,,,43800
476,"Dentate gyrus, granule cell layer",DG-sg,632,927,726,Dentate gyrus,DG,102543
477,"Dentate gyrus, subgranular zone",DG-sgz,10702,,726,,,0
478,Dentate gyrus crest,DGcr,734,91,726,Dentate gyrus,DG,0
479,"Dentate gyrus crest, molecular layer",DGcr-mo,742,92,734,Dentate gyrus crest,DGcr,0
480,"Dentate gyrus crest, polymorph layer",DGcr-po,751,93,734,Dentate gyrus crest,DGcr,0
481,"Dentate gyrus crest, granule cell layer",DGcr-sg,758,94,734,Dentate gyrus crest,DGcr,0
482,Dentate gyrus lateral blade,DGlb,766,95,726,Dentate gyrus,DG,0
483,"Dentate gyrus lateral blade, molecular layer",DGlb-mo,775,96,766,Dentate gyrus lateral blade,DGlb,0
484,"Dentate gyrus lateral blade, polymorph layer",DGlb-po,782,97,766,Dentate gyrus lateral blade,DGlb,0
485,"Dentate gyrus lateral blade, granule cell layer",DGlb-sg,790,98,766,Dentate gyrus lateral blade,DGlb,0
486,Dentate gyrus medial blade,DGmb,799,99,726,Dentate gyrus,DG,0
487,"Dentate gyrus medial blade, molecular layer",DGmb-mo,807,100,799,Dentate gyrus medial blade,DGmb,0
488,"Dentate gyrus medial blade, polymorph layer",DGmb-po,815,101,799,Dentate gyrus medial blade,DGmb,0
489,"Dentate gyrus medial blade, granule cell layer",DGmb-sg,823,102,799,Dentate gyrus medial blade,DGmb,0
490,Fasciola cinerea,FC,982,122,1080,Hippocampal region,HIP,3947
491,Induseum griseum,IG,19,143,1080,Hippocampal region,HIP,7958
492,Retrohippocampal region,RHP,822,385,1089,Hippocampal formation,HPF,0
493,Entorhinal area,ENT,909,113,822,Retrohippocampal region,RHP,0
494,"Entorhinal area, lateral part",ENTl,918,114,909,Entorhinal area,ENT,0
495,"Entorhinal area, lateral part, layer 1",ENTl1,1121,988,918,"Entorhinal area, lateral part",ENTl,62794
496,"Entorhinal area, lateral part, layer 2",ENTl2,20,992,918,"Entorhinal area, lateral part",ENTl,102602
497,"Entorhinal area, lateral part, layer 2/3",ENTl2/3,999,973,918,"Entorhinal area, lateral part",ENTl,0
498,"Entorhinal area, lateral part, layer 2a",ENTl2a,715,1079,918,"Entorhinal area, lateral part",ENTl,0
499,"Entorhinal area, lateral part, layer 2b",ENTl2b,764,1085,918,"Entorhinal area, lateral part",ENTl,0
500,"Entorhinal area, lateral part, layer 3",ENTl3,52,996,918,"Entorhinal area, lateral part",ENTl,84281
501,"Entorhinal area, lateral part, layer 4",ENTl4,92,1001,918,"Entorhinal area, lateral part",ENTl,0
502,"Entorhinal area, lateral part, layer 4/5",ENTl4/5,312,887,918,"Entorhinal area, lateral part",ENTl,0
503,"Entorhinal area, lateral part, layer 5",ENTl5,139,1007,918,"Entorhinal area, lateral part",ENTl,91401
504,"Entorhinal area, lateral part, layer 5/6",ENTl5/6,387,1038,918,"Entorhinal area, lateral part",ENTl,0
505,"Entorhinal area, lateral part, layer 6a",ENTl6a,28,993,918,"Entorhinal area, lateral part",ENTl,67154
506,"Entorhinal area, lateral part, layer 6b",ENTl6b,60,997,918,"Entorhinal area, lateral part",ENTl,0
507,"Entorhinal area, medial part, dorsal zone",ENTm,926,115,909,Entorhinal area,ENT,0
508,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,526,914,926,"Entorhinal area, medial part, dorsal zone",ENTm,79710
509,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,543,916,926,"Entorhinal area, medial part, dorsal zone",ENTm,80671
510,"Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a,468,1048,926,"Entorhinal area, medial part, dorsal zone",ENTm,0
511,"Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b,508,1053,926,"Entorhinal area, medial part, dorsal zone",ENTm,0
512,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,664,931,926,"Entorhinal area, medial part, dorsal zone",ENTm,62938
513,"Entorhinal area, medial part, dorsal zone, layer 4",ENTm4,712,937,926,"Entorhinal area, medial part, dorsal zone",ENTm,0
514,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,727,939,926,"Entorhinal area, medial part, dorsal zone",ENTm,58465
515,"Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6,550,634,926,"Entorhinal area, medial part, dorsal zone",ENTm,0
516,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,743,941,926,"Entorhinal area, medial part, dorsal zone",ENTm,40183
517,"Entorhinal area, medial part, ventral zone",ENTmv,934,116,909,Entorhinal area,ENT,0
518,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1,259,1022,934,"Entorhinal area, medial part, ventral zone",ENTmv,0
519,"Entorhinal area, medial part, ventral zone, layer 2",ENTmv2,324,1030,934,"Entorhinal area, medial part, ventral zone",ENTmv,0
520,"Entorhinal area, medial part, ventral zone, layer 3",ENTmv3,371,1036,934,"Entorhinal area, medial part, ventral zone",ENTmv,0
521,"Entorhinal area, medial part, ventral zone, layer 4",ENTmv4,419,1042,934,"Entorhinal area, medial part, ventral zone",ENTmv,0
522,"Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6,1133,1131,934,"Entorhinal area, medial part, ventral zone",ENTmv,0
523,Parasubiculum,PAR,843,246,822,Retrohippocampal region,RHP,59690
524,"Parasubiculum, layer 1",PAR1,10693,,843,,,0
525,"Parasubiculum, layer 2",PAR2,10694,,843,,,0
526,"Parasubiculum, layer 3",PAR3,10695,,843,,,0
527,Postsubiculum,POST,1037,270,822,Retrohippocampal region,RHP,69144
528,"Postsubiculum, layer 1",POST1,10696,,1037,,,0
529,"Postsubiculum, layer 2",POST2,10697,,1037,,,0
530,"Postsubiculum, layer 3",POST3,10698,,1037,,,0
531,Presubiculum,PRE,1084,276,822,Retrohippocampal region,RHP,59134
532,"Presubiculum, layer 1",PRE1,10699,,1084,,,0
533,"Presubiculum, layer 2",PRE2,10700,,1084,,,0
534,"Presubiculum, layer 3",PRE3,10701,,1084,,,0
535,Subiculum,SUB,502,345,822,Retrohippocampal region,RHP,134629
536,"Subiculum, dorsal part",SUBd,509,346,502,Subiculum,SUB,0
537,"Subiculum, dorsal part, molecular layer",SUBd-m,829,386,509,"Subiculum, dorsal part",SUBd,0
538,"Subiculum, dorsal part, pyramidal layer",SUBd-sp,845,388,509,"Subiculum, dorsal part",SUBd,0
539,"Subiculum, dorsal part, stratum radiatum",SUBd-sr,837,387,509,"Subiculum, dorsal part",SUBd,0
540,"Subiculum, ventral part",SUBv,518,347,502,Subiculum,SUB,0
541,"Subiculum, ventral part, molecular layer",SUBv-m,853,389,518,"Subiculum, ventral part",SUBv,0
542,"Subiculum, ventral part, pyramidal layer",SUBv-sp,870,391,518,"Subiculum, ventral part",SUBv,0
543,"Subiculum, ventral part, stratum radiatum",SUBv-sr,861,390,518,"Subiculum, ventral part",SUBv,0
544,Prosubiculum,ProS,484682470,,822,,,0
545,"Prosubiculum, dorsal part",ProSd,484682475,,484682470,,,0
546,"Prosubiculum, dorsal part, molecular layer",ProSd-m,484682479,,484682475,,,0
547,"Prosubiculum, dorsal part, pyramidal layer",ProSd-sp,484682483,,484682475,,,0
548,"Prosubiculum, dorsal part, stratum radiatum",ProSd-sr,484682487,,484682475,,,0
549,"Prosubiculum, ventral part",ProSv,484682492,,484682470,,,0
550,"Prosubiculum, ventral part, molecular layer",ProSv-m,484682496,,484682492,,,89266
551,"Prosubiculum, ventral part, pyramidal layer",ProSv-sp,484682500,,484682492,,,0
552,"Prosubiculum, ventral part, stratum radiatum",Prosv-sr,484682504,,484682492,,,0
553,Hippocampo-amygdalar transition area,HATA,589508447,,822,,,0
554,Area prostriata,APr,484682508,,822,,,0
555,Cortical subplate,CTXsp,703,87,688,Cerebral cortex,CTX,23955
556,"Layer 6b, isocortex",6b,16,1,703,Cortical subplate,CTXsp,0
557,Claustrum,CLA,583,72,703,Cortical subplate,CTXsp,35283
558,Endopiriform nucleus,EP,942,117,703,Cortical subplate,CTXsp,0
559,"Endopiriform nucleus, dorsal part",EPd,952,118,942,Endopiriform nucleus,EP,116294
560,"Endopiriform nucleus, ventral part",EPv,966,120,942,Endopiriform nucleus,EP,62260
561,Lateral amygdalar nucleus,LA,131,157,703,Cortical subplate,CTXsp,53680
562,Basolateral amygdalar nucleus,BLA,295,36,703,Cortical subplate,CTXsp,0
563,"Basolateral amygdalar nucleus, anterior part",BLAa,303,37,295,Basolateral amygdalar nucleus,BLA,49305
564,"Basolateral amygdalar nucleus, posterior part",BLAp,311,38,295,Basolateral amygdalar nucleus,BLA,45512
565,"Basolateral amygdalar nucleus, ventral part",BLAv,451,763,295,Basolateral amygdalar nucleus,BLA,26796
566,Basomedial amygdalar nucleus,BMA,319,39,703,Cortical subplate,CTXsp,0
567,"Basomedial amygdalar nucleus, anterior part",BMAa,327,40,319,Basomedial amygdalar nucleus,BMA,49159
568,"Basomedial amygdalar nucleus, posterior part",BMAp,334,41,319,Basomedial amygdalar nucleus,BMA,45909
569,Posterior amygdalar nucleus,PA,780,238,703,Cortical subplate,CTXsp,61821
570,Cerebral nuclei,CNU,623,77,567,Cerebrum,CH,0
571,Striatum,STR,477,342,623,Cerebral nuclei,CNU,171564
572,Striatum dorsal region,STRd,485,343,477,Striatum,STR,0
573,Caudoputamen,CP,672,83,485,Striatum dorsal region,STRd,1665238
574,Striatum ventral region,STRv,493,344,477,Striatum,STR,0
575,Nucleus accumbens,ACB,56,6,493,Striatum ventral region,STRv,281489
576,Fundus of striatum,FS,998,124,493,Striatum ventral region,STRv,27633
577,Olfactory tubercle,OT,754,235,493,Striatum ventral region,STRv,244420
578,Islands of Calleja,isl,481,767,754,Olfactory tubercle,OT,0
579,Major island of Calleja,islm,489,768,754,Olfactory tubercle,OT,0
580,"Olfactory tubercle, layers 1-3",OT1-3,144,866,754,Olfactory tubercle,OT,0
581,"Olfactory tubercle, molecular layer",OT1,458,764,754,Olfactory tubercle,OT,0
582,"Olfactory tubercle, pyramidal layer",OT2,465,765,754,Olfactory tubercle,OT,0
583,"Olfactory tubercle, polymorph layer",OT3,473,766,754,Olfactory tubercle,OT,0
584,Lateral strip of striatum,LSS,549009199,,493,,,0
585,Lateral septal complex,LSX,275,175,477,Striatum,STR,0
586,Lateral septal nucleus,LS,242,171,275,Lateral septal complex,LSX,0
587,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,250,172,242,Lateral septal nucleus,LS,36018
588,"Lateral septal nucleus, rostral (rostroventral) part",LSr,258,173,242,Lateral septal nucleus,LS,120383
589,"Lateral septal nucleus, ventral part",LSv,266,174,242,Lateral septal nucleus,LS,38886
590,Septofimbrial nucleus,SF,310,321,275,Lateral septal complex,LSX,30348
591,Septohippocampal nucleus,SH,333,324,275,Lateral septal complex,LSX,2380
592,Striatum-like amygdalar nuclei,sAMY,278,317,477,Striatum,STR,0
593,Anterior amygdalar area,AAA,23,2,278,Striatum-like amygdalar nuclei,sAMY,31652
594,Bed nucleus of the accessory olfactory tract,BA,292,460,278,Striatum-like amygdalar nuclei,sAMY,1603
595,Central amygdalar nucleus,CEA,536,66,278,Striatum-like amygdalar nuclei,sAMY,0
