,name,acronym,id,reassigned_id,parent_structure_id,parent_name,parent_acronym,fullname
668,Lateral posterior nucleus of the thalamus,LP,218,669,138.0,Lateral group of the dorsal thalamus,LAT,LP: Lateral posterior nucleus of the thalamus
14,"Somatomotor areas, Layer 2/3",MO2/3,219,15,500.0,Somatomotor areas,MO,"MO2/3: Somatomotor areas, Layer 2/3"
382,"Main olfactory bulb, granule layer",MOBgr,220,383,507.0,Main olfactory bulb,MOB,"MOBgr: Main olfactory bulb, granule layer"
1232,rubroreticular tract,rrt,221,1233,863.0,rubrospinal tract,rust,rrt: rubroreticular tract
1013,Nucleus raphe obscurus,RO,222,1014,379.0,"Medulla, behavioral state related",MY-sat,RO: Nucleus raphe obscurus
733,Arcuate hypothalamic nucleus,ARH,223,734,157.0,Periventricular zone,PVZ,ARH: Arcuate hypothalamic nucleus
436,"Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2,224,437,655.0,"Cortical amygdalar area, posterior part, lateral zone",COApl,"COApl2: Cortical amygdalar area, posterior part, lateral zone, layer 2"
1004,Spinal vestibular nucleus,SPIV,225,1005,701.0,Vestibular nuclei,VNC,SPIV: Spinal vestibular nucleus
795,Lateral preoptic area,LPO,226,796,290.0,Hypothalamic lateral zone,LZ,LPO: Lateral preoptic area
225,"Anterior cingulate area, layer 6b",ACA6b,227,226,31.0,Anterior cingulate area,ACA,"ACA6b: Anterior cingulate area, layer 6b"
383,"Main olfactory bulb, inner plexiform layer",MOBipl,228,384,507.0,Main olfactory bulb,MOB,"MOBipl: Main olfactory bulb, inner plexiform layer"
1127,sensory root of the trigeminal nerve,sV,229,1128,901.0,trigeminal nerve,Vn,sV: sensory root of the trigeminal nerve
1012,Nucleus raphe pallidus,RPA,230,1013,379.0,"Medulla, behavioral state related",MY-sat,RPA: Nucleus raphe pallidus
860,Anterior tegmental nucleus,AT,231,861,323.0,"Midbrain, motor related",MBmot,AT: Anterior tegmental nucleus
437,"Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3,232,438,655.0,"Cortical amygdalar area, posterior part, lateral zone",COApl,"COApl3: Cortical amygdalar area, posterior part, lateral zone, layer 3"
168,"Anterolateral visual area, layer 5",VISal5,233,169,402.0,Anterolateral visual area,VISal,"VISal5: Anterolateral visual area, layer 5"
363,"Temporal association areas, layer 4",TEa4,234,364,541.0,Temporal association areas,TEa,"TEa4: Temporal association areas, layer 4"
981,Lateral reticular nucleus,LRN,235,982,370.0,"Medulla, motor related",MY-mot,LRN: Lateral reticular nucleus
384,"Main olfactory bulb, mitral layer",MOBmi,236,385,507.0,Main olfactory bulb,MOB,"MOBmi: Main olfactory bulb, mitral layer"
1145,solitary tract,ts,237,1146,917.0,vagus nerve,Xn,ts: solitary tract
932,Nucleus raphe pontis,RPO,238,933,1117.0,"Pons, behavioral state related",P-sat,RPO: Nucleus raphe pontis
674,Anterior group of the dorsal thalamus,ATN,239,675,856.0,"Thalamus, polymodal association cortex related",DORpm,ATN: Anterior group of the dorsal thalamus
441,"Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1,240,442,663.0,"Cortical amygdalar area, posterior part, medial zone",COApm,"COApm1: Cortical amygdalar area, posterior part, medial zone, layer 1"
341,"Posterior parietal association areas, layer 2/3",PTLp2/3,241,342,22.0,Posterior parietal association areas,PTLp,"PTLp2/3: Posterior parietal association areas, layer 2/3"
586,Lateral septal nucleus,LS,242,587,275.0,Lateral septal complex,LSX,LS: Lateral septal nucleus
128,"Dorsal auditory area, layer 6b",AUDd6b,243,129,1011.0,Dorsal auditory area,AUDd,"AUDd6b: Dorsal auditory area, layer 6b"
385,"Main olfactory bulb, outer plexiform layer",MOBopl,244,386,507.0,Main olfactory bulb,MOB,"MOBopl: Main olfactory bulb, outer plexiform layer"
1163,spinocervical tract,scrt,245,1164,871.0,spinothalamic tract,sst,scrt: spinocervical tract
825,"Midbrain reticular nucleus, retrorubral area",RR,246,826,323.0,"Midbrain, motor related",MBmot,"RR: Midbrain reticular nucleus, retrorubral area"
121,Auditory areas,AUD,247,122,315.0,Isocortex,Isocortex,AUD: Auditory areas
442,"Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2,248,443,663.0,"Cortical amygdalar area, posterior part, medial zone",COApm,"COApm2: Cortical amygdalar area, posterior part, medial zone, layer 2"
148,"Posterior auditory area, layer 6a",AUDpo6a,249,149,1027.0,Posterior auditory area,AUDpo,"AUDpo6a: Posterior auditory area, layer 6a"
587,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,250,588,242.0,Lateral septal nucleus,LS,"LSc: Lateral septal nucleus, caudal (caudodorsal) part"
138,"Primary auditory area, layer 2/3",AUDp2/3,251,139,1002.0,Primary auditory area,AUDp,"AUDp2/3: Primary auditory area, layer 2/3"
126,"Dorsal auditory area, layer 5",AUDd5,252,127,1011.0,Dorsal auditory area,AUDd,"AUDd5: Dorsal auditory area, layer 5"
1168,spinohypothalamic pathway,shp,253,1169,871.0,spinothalamic tract,sst,shp: spinohypothalamic pathway
297,Retrosplenial area,RSP,254,298,315.0,Isocortex,Isocortex,RSP: Retrosplenial area
675,Anteroventral nucleus of thalamus,AV,255,676,239.0,Anterior group of the dorsal thalamus,ATN,AV: Anteroventral nucleus of thalamus
443,"Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3,256,444,663.0,"Cortical amygdalar area, posterior part, medial zone",COApm,"COApm3: Cortical amygdalar area, posterior part, medial zone, layer 3"
204,"posteromedial visual area, layer 6a",VISpm6a,257,205,533.0,posteromedial visual area,VISpm,"VISpm6a: posteromedial visual area, layer 6a"
588,"Lateral septal nucleus, rostral (rostroventral) part",LSr,258,589,242.0,Lateral septal nucleus,LS,"LSr: Lateral septal nucleus, rostral (rostroventral) part"
518,"Entorhinal area, medial part, ventral zone, layer 1",ENTmv1,259,519,934.0,"Entorhinal area, medial part, ventral zone",ENTmv,"ENTmv1: Entorhinal area, medial part, ventral zone, layer 1"
423,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,260,424,619.0,Nucleus of the lateral olfactory tract,NLOT,"NLOT1: Nucleus of the lateral olfactory tract, molecular layer"
1164,spino-olivary pathway,sop,261,1165,871.0,spinothalamic tract,sst,sop: spino-olivary pathway
703,Reticular nucleus of the thalamus,RT,262,704,856.0,"Thalamus, polymodal association cortex related",DORpm,RT: Reticular nucleus of the thalamus
737,Anteroventral preoptic nucleus,AVP,263,738,141.0,Periventricular region,PVR,AVP: Anteroventral preoptic nucleus
253,"Orbital area, layer 1",ORB1,264,254,714.0,Orbital area,ORB,"ORB1: Orbital area, layer 1"
589,"Lateral septal nucleus, ventral part",LSv,266,590,242.0,Lateral septal nucleus,LS,"LSv: Lateral septal nucleus, ventral part"
415,"Dorsal peduncular area, layer 6a",DP6a,267,416,814.0,Dorsal peduncular area,DP,"DP6a: Dorsal peduncular area, layer 6a"
424,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,268,425,619.0,Nucleus of the lateral olfactory tract,NLOT,"NLOT2: Nucleus of the lateral olfactory tract, pyramidal layer"
194,"Posterolateral visual area, layer 2/3",VISpl2/3,269,195,425.0,Posterolateral visual area,VISpl,"VISpl2/3: Posterolateral visual area, layer 2/3"
1165,spinoreticular pathway,srp,270,1166,871.0,spinothalamic tract,sst,srp: spinoreticular pathway
817,Nucleus sagulum,SAG,271,818,339.0,"Midbrain, sensory related",MBsen,SAG: Nucleus sagulum
738,Anteroventral periventricular nucleus,AVPV,272,739,141.0,Periventricular region,PVR,AVPV: Anteroventral periventricular nucleus
330,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,274,331,879.0,"Retrosplenial area, dorsal part",RSPd,"RSPd6a: Retrosplenial area, dorsal part, layer 6a"
585,Lateral septal complex,LSX,275,586,477.0,Striatum,STR,LSX: Lateral septal complex
418,"Piriform area, molecular layer",PIR1,276,419,961.0,Piriform area,PIR,"PIR1: Piriform area, molecular layer"
1167,spinotectal pathway,stp,277,1168,871.0,spinothalamic tract,sst,stp: spinotectal pathway
592,Striatum-like amygdalar nuclei,sAMY,278,593,477.0,Striatum,STR,sAMY: Striatum-like amygdalar nuclei
303,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,279,304,894.0,"Retrosplenial area, lateral agranular part",RSPagl,"RSPagl6b: Retrosplenial area, lateral agranular part, layer 6b"
907,Barrington's nucleus,B,280,908,987.0,"Pons, motor related",P-mot,B: Barrington's nucleus
172,"Anteromedial visual area, layer 1",VISam1,281,173,394.0,Anteromedial visual area,VISam,"VISam1: Anteromedial visual area, layer 1"
909,Lateral tegmental nucleus,LTN,283,910,987.0,"Pons, motor related",P-mot,LTN: Lateral tegmental nucleus
419,"Piriform area, pyramidal layer",PIR2,284,420,961.0,Piriform area,PIR,"PIR2: Piriform area, pyramidal layer"
1169,spinotelenchephalic pathway,step,285,1170,871.0,spinothalamic tract,sst,step: spinotelenchephalic pathway
752,Suprachiasmatic nucleus,SCH,286,753,141.0,Periventricular region,PVR,SCH: Suprachiasmatic nucleus
638,Bed nucleus of the anterior commissure,BAC,287,639,809.0,"Pallidum, caudal region",PALc,BAC: Bed nucleus of the anterior commissure
274,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,288,275,746.0,"Orbital area, ventrolateral part",ORBvl,"ORBvl2/3: Orbital area, ventrolateral part, layer 2/3"
364,"Temporal association areas, layer 5",TEa5,289,365,541.0,Temporal association areas,TEa,"TEa5: Temporal association areas, layer 5"
793,Hypothalamic lateral zone,LZ,290,794,1097.0,Hypothalamus,HY,LZ: Hypothalamic lateral zone
420,"Piriform area, polymorph layer",PIR3,291,421,961.0,Piriform area,PIR,"PIR3: Piriform area, polymorph layer"
594,Bed nucleus of the accessory olfactory tract,BA,292,595,278.0,Striatum-like amygdalar nuclei,sAMY,BA: Bed nucleus of the accessory olfactory tract
1166,spinovestibular pathway,svp,293,1167,871.0,spinothalamic tract,sst,svp: spinovestibular pathway
830,"Superior colliculus, motor related",SCm,294,831,323.0,"Midbrain, motor related",MBmot,"SCm: Superior colliculus, motor related"
562,Basolateral amygdalar nucleus,BLA,295,563,703.0,Cortical subplate,CTXsp,BLA: Basolateral amygdalar nucleus
234,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,296,235,48.0,"Anterior cingulate area, ventral part",ACAv,"ACAv2/3: Anterior cingulate area, ventral part, layer 2/3"
400,"Taenia tecta, dorsal part, layers 1-4",TTd1-4,297,401,597.0,"Taenia tecta, dorsal part",TTd,"TTd1-4: Taenia tecta, dorsal part, layers 1-4"
614,Magnocellular nucleus,MA,298,615,835.0,"Pallidum, ventral region",PALv,MA: Magnocellular nucleus
15,"Somatomotor areas, Layer 5",MO5,299,16,500.0,Somatomotor areas,MO,"MO5: Somatomotor areas, Layer 5"
708,"Ventral part of the lateral geniculate complex, lateral zone",LGvl,300,709,178.0,Ventral part of the lateral geniculate complex,LGv,"LGvl: Ventral part of the lateral geniculate complex, lateral zone"
1259,stria terminalis,st,301,1260,768.0,cerebrum related,mfbc,st: stria terminalis
808,"Superior colliculus, sensory related",SCs,302,809,339.0,"Midbrain, sensory related",MBsen,"SCs: Superior colliculus, sensory related"
563,"Basolateral amygdalar nucleus, anterior part",BLAa,303,564,295.0,Basolateral amygdalar nucleus,BLA,"BLAa: Basolateral amygdalar nucleus, anterior part"
241,"Prelimbic area, layer 2/3",PL2/3,304,242,972.0,Prelimbic area,PL,"PL2/3: Prelimbic area, layer 2/3"
191,"Primary visual area, layer 6b",VISp6b,305,192,385.0,Primary visual area,VISp,"VISp6b: Primary visual area, layer 6b"
406,"Taenia tecta, ventral part, layers 1-3",TTv1-3,306,407,605.0,"Taenia tecta, ventral part",TTv,"TTv1-3: Taenia tecta, ventral part, layers 1-3"
984,Magnocellular reticular nucleus,MARN,307,985,370.0,"Medulla, motor related",MY-mot,MARN: Magnocellular reticular nucleus
344,"Posterior parietal association areas, layer 6a",PTLp6a,308,345,22.0,Posterior parietal association areas,PTLp,"PTLp6a: Posterior parietal association areas, layer 6a"
1224,striatonigral pathway,snp,309,1225,760.0,cerebral nuclei related,epsc,snp: striatonigral pathway
590,Septofimbrial nucleus,SF,310,591,275.0,Lateral septal complex,LSX,SF: Septofimbrial nucleus
564,"Basolateral amygdalar nucleus, posterior part",BLAp,311,565,295.0,Basolateral amygdalar nucleus,BLA,"BLAp: Basolateral amygdalar nucleus, posterior part"
502,"Entorhinal area, lateral part, layer 4/5",ENTl4/5,312,503,918.0,"Entorhinal area, lateral part",ENTl,"ENTl4/5: Entorhinal area, lateral part, layer 4/5"
806,Midbrain,MB,313,807,343.0,Brain stem,BS,MB: Midbrain
289,"Agranular insular area, posterior part, layer 6a",AIp6a,314,290,111.0,"Agranular insular area, posterior part",AIp,"AIp6a: Agranular insular area, posterior part, layer 6a"
5,Isocortex,Isocortex,315,6,695.0,Cortical plate,CTXpl,Isocortex: Isocortex
709,"Ventral part of the lateral geniculate complex, medial zone",LGvm,316,710,178.0,Ventral part of the lateral geniculate complex,LGv,"LGvm: Ventral part of the lateral geniculate complex, medial zone"
1225,subthalamic fascicle,stf,317,1226,760.0,cerebral nuclei related,epsc,stf: subthalamic fascicle
915,Supragenual nucleus,SG,318,916,987.0,"Pons, motor related",P-mot,SG: Supragenual nucleus
566,Basomedial amygdalar nucleus,BMA,319,567,703.0,Cortical subplate,CTXsp,BMA: Basomedial amygdalar nucleus
19,"Primary motor area, Layer 1",MOp1,320,20,985.0,Primary motor area,MOp,"MOp1: Primary motor area, Layer 1"
710,Subgeniculate nucleus,SubG,321,711,1014.0,"Geniculate group, ventral thalamus",GENv,SubG: Subgeniculate nucleus
37,Primary somatosensory area,SSp,322,38,453.0,Somatosensory areas,SS,SSp: Primary somatosensory area
821,"Midbrain, motor related",MBmot,323,822,313.0,Midbrain,MB,"MBmot: Midbrain, motor related"
519,"Entorhinal area, medial part, ventral zone, layer 2",ENTmv2,324,520,934.0,"Entorhinal area, medial part, ventral zone",ENTmv,"ENTmv2: Entorhinal area, medial part, ventral zone, layer 2"
671,Suprageniculate nucleus,SGN,325,672,138.0,Lateral group of the dorsal thalamus,LAT,SGN: Suprageniculate nucleus
1174,superior cerebelar peduncles,scp,326,1175,752.0,cerebellar peduncles,cbp,scp: superior cerebelar peduncles
567,"Basomedial amygdalar nucleus, anterior part",BMAa,327,568,319.0,Basomedial amygdalar nucleus,BMA,"BMAa: Basomedial amygdalar nucleus, anterior part"
281,"Agranular insular area, dorsal part, layer 2/3",AId2/3,328,282,104.0,"Agranular insular area, dorsal part",AId,"AId2/3: Agranular insular area, dorsal part, layer 2/3"
51,"Primary somatosensory area, barrel field",SSp-bfd,329,52,322.0,Primary somatosensory area,SSp,"SSp-bfd: Primary somatosensory area, barrel field"
331,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,330,332,879.0,"Retrosplenial area, dorsal part",RSPd,"RSPd6b: Retrosplenial area, dorsal part, layer 6b"
762,Mammillary body,MBO,331,763,467.0,Hypothalamic medial zone,MEZ,MBO: Mammillary body
718,Accessory supraoptic group,ASO,332,719,157.0,Periventricular zone,PVZ,ASO: Accessory supraoptic group
591,Septohippocampal nucleus,SH,333,592,275.0,Lateral septal complex,LSX,SH: Septohippocampal nucleus
568,"Basomedial amygdalar nucleus, posterior part",BMAp,334,569,319.0,Basomedial amygdalar nucleus,BMA,"BMAp: Basomedial amygdalar nucleus, posterior part"
371,"Perirhinal area, layer 6a",PERI6a,335,372,922.0,Perirhinal area,PERI,"PERI6a: Perirhinal area, layer 6a"
1115,superior colliculus commissure,csc,336,1116,848.0,optic nerve,IIn,csc: superior colliculus commissure
65,"Primary somatosensory area, lower limb",SSp-ll,337,66,322.0,Primary somatosensory area,SSp,"SSp-ll: Primary somatosensory area, lower limb"
753,Subfornical organ,SFO,338,754,141.0,Periventricular region,PVR,SFO: Subfornical organ
807,"Midbrain, sensory related",MBsen,339,808,313.0,Midbrain,MB,"MBsen: Midbrain, sensory related"
345,"Posterior parietal association areas, layer 6b",PTLp6b,340,346,22.0,Posterior parietal association areas,PTLp,"PTLp6b: Posterior parietal association areas, layer 6b"
1270,supramammillary decussation,smd,341,1271,824.0,hypothalamus related,mfsbshy,smd: supramammillary decussation
613,Substantia innominata,SI,342,614,835.0,"Pallidum, ventral region",PALv,SI: Substantia innominata
639,Brain stem,BS,343,640,8.0,Basic cell groups and regions,grey,BS: Brain stem
288,"Agranular insular area, posterior part, layer 5",AIp5,344,289,111.0,"Agranular insular area, posterior part",AIp,"AIp5: Agranular insular area, posterior part, layer 5"
72,"Primary somatosensory area, mouth",SSp-m,345,73,322.0,Primary somatosensory area,SSp,"SSp-m: Primary somatosensory area, mouth"
39,"Primary somatosensory area, layer 2/3",SSp2/3,346,40,322.0,Primary somatosensory area,SSp,"SSp2/3: Primary somatosensory area, layer 2/3"
751,Subparaventricular zone,SBPV,347,752,141.0,Periventricular region,PVR,SBPV: Subparaventricular zone
865,"Midbrain, behavioral state related",MBsta,348,866,313.0,Midbrain,MB,"MBsta: Midbrain, behavioral state related"
1265,supraoptic commissures,sup,349,1266,824.0,hypothalamus related,mfsbshy,sup: supraoptic commissures
933,Subceruleus nucleus,SLC,350,934,1117.0,"Pons, behavioral state related",P-sat,SLC: Subceruleus nucleus
621,Bed nuclei of the stria terminalis,BST,351,622,809.0,"Pallidum, caudal region",PALc,BST: Bed nuclei of the stria terminalis
255,"Orbital area, layer 5",ORB5,352,256,714.0,Orbital area,ORB,"ORB5: Orbital area, layer 5"
44,"Primary somatosensory area, nose",SSp-n,353,45,322.0,Primary somatosensory area,SSp,"SSp-n: Primary somatosensory area, nose"
935,Medulla,MY,354,936,1065.0,Hindbrain,HB,MY: Medulla
290,"Agranular insular area, posterior part, layer 6b",AIp6b,355,291,111.0,"Agranular insular area, posterior part",AIp,"AIp6b: Agranular insular area, posterior part, layer 6b"
796,Preparasubthalamic nucleus,PST,356,797,290.0,Hypothalamic lateral zone,LZ,PST: Preparasubthalamic nucleus
1118,tectothalamic pathway,ttp,357,1119,848.0,optic nerve,IIn,ttp: tectothalamic pathway
934,Sublaterodorsal nucleus,SLD,358,935,1117.0,"Pons, behavioral state related",P-sat,SLD: Sublaterodorsal nucleus
622,"Bed nuclei of the stria terminalis, anterior division",BSTa,359,623,351.0,Bed nuclei of the stria terminalis,BST,"BSTa: Bed nuclei of the stria terminalis, anterior division"
413,"Dorsal peduncular area, layer 2/3",DP2/3,360,414,814.0,Dorsal peduncular area,DP,"DP2/3: Dorsal peduncular area, layer 2/3"
86,"Primary somatosensory area, trunk",SSp-tr,361,87,322.0,Primary somatosensory area,SSp,"SSp-tr: Primary somatosensory area, trunk"
685,Mediodorsal nucleus of thalamus,MD,362,686,444.0,Medial group of the dorsal thalamus,MED,MD: Mediodorsal nucleus of thalamus
242,"Prelimbic area, layer 5",PL5,363,243,972.0,Prelimbic area,PL,"PL5: Prelimbic area, layer 5"
797,Parasubthalamic nucleus,PSTN,364,798,290.0,Hypothalamic lateral zone,LZ,PSTN: Parasubthalamic nucleus
1215,thalamic peduncles,tp,365,1216,896.0,thalamus related,lfbst,tp: thalamic peduncles
689,Submedial nucleus of the thalamus,SMT,366,690,444.0,Medial group of the dorsal thalamus,MED,SMT: Submedial nucleus of the thalamus
632,"Bed nuclei of the stria terminalis, posterior division",BSTp,367,633,351.0,Bed nuclei of the stria terminalis,BST,"BSTp: Bed nuclei of the stria terminalis, posterior division"
372,"Perirhinal area, layer 6b",PERI6b,368,373,922.0,Perirhinal area,PERI,"PERI6b: Perirhinal area, layer 6b"
79,"Primary somatosensory area, upper limb",SSp-ul,369,80,322.0,Primary somatosensory area,SSp,"SSp-ul: Primary somatosensory area, upper limb"
964,"Medulla, motor related",MY-mot,370,965,354.0,Medulla,MY,"MY-mot: Medulla, motor related"
520,"Entorhinal area, medial part, ventral zone, layer 3",ENTmv3,371,521,934.0,"Entorhinal area, medial part, ventral zone",ENTmv,"ENTmv3: Entorhinal area, medial part, ventral zone, layer 3"
976,Infracerebellar nucleus,ICB,372,977,370.0,"Medulla, motor related",MY-mot,ICB: Infracerebellar nucleus
1187,trigeminocerebellar tract,tct,373,1188,752.0,cerebellar peduncles,cbp,tct: trigeminocerebellar tract
866,"Substantia nigra, compact part",SNc,374,867,348.0,"Midbrain, behavioral state related",MBsta,"SNc: Substantia nigra, compact part"
456,Ammon's horn,CA,375,457,1080.0,Hippocampal region,HIP,CA: Ammon's horn
434,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",COApl1-3,376,435,655.0,"Cortical amygdalar area, posterior part, lateral zone",COApl,"COApl1-3: Cortical amygdalar area, posterior part, lateral zone, layers 1-3"
197,"Posterolateral visual area, layer 6a",VISpl6a,377,198,425.0,Posterolateral visual area,VISpl,"VISpl6a: Posterolateral visual area, layer 6a"
100,Supplemental somatosensory area,SSs,378,101,453.0,Somatosensory areas,SS,SSs: Supplemental somatosensory area
1010,"Medulla, behavioral state related",MY-sat,379,1011,354.0,Medulla,MY,"MY-sat: Medulla, behavioral state related"
1156,cuneate fascicle,cuf,380,1157,514.0,dorsal column,dc,cuf: cuneate fascicle
822,"Substantia nigra, reticular part",SNr,381,823,323.0,"Midbrain, motor related",MBmot,"SNr: Substantia nigra, reticular part"
457,Field CA1,CA1,382,458,375.0,Ammon's horn,CA,CA1: Field CA1
440,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",COApm1-3,383,441,663.0,"Cortical amygdalar area, posterior part, medial zone",COApm,"COApm1-3: Cortical amygdalar area, posterior part, medial zone, layers 1-3"
1123,trochlear nerve decussation,IVd,384,1124,911.0,trochlear nerve,IVn,IVd: trochlear nerve decussation
185,Primary visual area,VISp,385,186,669.0,Visual areas,VIS,VISp: Primary visual area
936,"Medulla, sensory related",MY-sen,386,937,354.0,Medulla,MY,"MY-sen: Medulla, sensory related"
504,"Entorhinal area, lateral part, layer 5/6",ENTl5/6,387,505,918.0,"Entorhinal area, lateral part",ENTl,"ENTl5/6: Entorhinal area, lateral part, layer 5/6"
1157,gracile fascicle,grf,388,1158,514.0,dorsal column,dc,grf: gracile fascicle
1162,ventral spinothalamic tract,sttv,389,1163,871.0,spinothalamic tract,sst,sttv: ventral spinothalamic tract
717,Supraoptic nucleus,SO,390,718,157.0,Periventricular zone,PVZ,SO: Supraoptic nucleus
458,"Field CA1, stratum lacunosum-moleculare",CA1slm,391,459,382.0,Field CA1,CA1,"CA1slm: Field CA1, stratum lacunosum-moleculare"
422,"Nucleus of the lateral olfactory tract, layers 1-3",NLOT1-3,392,423,619.0,Nucleus of the lateral olfactory tract,NLOT,"NLOT1-3: Nucleus of the lateral olfactory tract, layers 1-3"
198,"Posterolateral visual area, layer 6b",VISpl6b,393,199,425.0,Posterolateral visual area,VISpl,"VISpl6b: Posterolateral visual area, layer 6b"
171,Anteromedial visual area,VISam,394,172,669.0,Visual areas,VIS,VISam: Anteromedial visual area
985,Medullary reticular nucleus,MDRN,395,986,370.0,"Medulla, motor related",MY-mot,MDRN: Medullary reticular nucleus
1158,internal arcuate fibers,iaf,396,1159,514.0,dorsal column,dc,iaf: internal arcuate fibers
1231,ventral tegmental decussation,vtd,397,1232,863.0,rubrospinal tract,rust,vtd: ventral tegmental decussation
902,Superior olivary complex,SOC,398,903,1132.0,"Pons, sensory related",P-sen,SOC: Superior olivary complex
459,"Field CA1, stratum oriens",CA1so,399,460,382.0,Field CA1,CA1,"CA1so: Field CA1, stratum oriens"
445,"Piriform-amygdalar area, layers 1-3",PAA1-3,400,446,788.0,Piriform-amygdalar area,PAA,"PAA1-3: Piriform-amygdalar area, layers 1-3"
174,"Anteromedial visual area, layer 4",VISam4,401,175,394.0,Anteromedial visual area,VISam,"VISam4: Anteromedial visual area, layer 4"
164,Anterolateral visual area,VISal,402,165,669.0,Visual areas,VIS,VISal: Anterolateral visual area
600,Medial amygdalar nucleus,MEA,403,601,278.0,Striatum-like amygdalar nuclei,sAMY,MEA: Medial amygdalar nucleus
1185,olivocerebellar tract,oct,404,1186,490.0,bulbocerebellar tract,bct,oct: olivocerebellar tract
1263,ventrolateral hypothalamic tract,vlt,405,1264,824.0,hypothalamus related,mfsbshy,vlt: ventrolateral hypothalamic tract
652,Subparafascicular nucleus,SPF,406,653,864.0,"Thalamus, sensory-motor cortex related",DORsm,SPF: Subparafascicular nucleus
460,"Field CA1, pyramidal layer",CA1sp,407,461,382.0,Field CA1,CA1,"CA1sp: Field CA1, pyramidal layer"
446,"Piriform-amygdalar area, molecular layer",PAA1,408,447,788.0,Piriform-amygdalar area,PAA,"PAA1: Piriform-amygdalar area, molecular layer"
178,Lateral visual area,VISl,409,179,669.0,Visual areas,VIS,VISl: Lateral visual area
1186,reticulocerebellar tract,rct,410,1187,490.0,bulbocerebellar tract,bct,rct: reticulocerebellar tract
601,"Medial amygdalar nucleus, anterodorsal part",MEAad,411,602,403.0,Medial amygdalar nucleus,MEA,"MEAad: Medial amygdalar nucleus, anterodorsal part"
260,"Orbital area, lateral part, layer 2/3",ORBl2/3,412,261,723.0,"Orbital area, lateral part",ORBl,"ORBl2/3: Orbital area, lateral part, layer 2/3"
1135,vestibular nerve,vVIIIn,413,1136,933.0,vestibulocochlear nerve,VIIIn,vVIIIn: vestibular nerve
653,"Subparafascicular nucleus, magnocellular part",SPFm,414,654,406.0,Subparafascicular nucleus,SPF,"SPFm: Subparafascicular nucleus, magnocellular part"
461,"Field CA1, stratum radiatum",CA1sr,415,462,382.0,Field CA1,CA1,"CA1sr: Field CA1, stratum radiatum"
447,"Piriform-amygdalar area, pyramidal layer",PAA2,416,448,788.0,Piriform-amygdalar area,PAA,"PAA2: Piriform-amygdalar area, pyramidal layer"
353,Rostrolateral visual area,VISrl,417,354,22.0,Posterior parietal association areas,PTLp,VISrl: Rostrolateral visual area
602,"Medial amygdalar nucleus, anteroventral part",MEAav,418,603,403.0,Medial amygdalar nucleus,MEA,"MEAav: Medial amygdalar nucleus, anteroventral part"
521,"Entorhinal area, medial part, ventral zone, layer 4",ENTmv4,419,522,934.0,"Entorhinal area, medial part, ventral zone",ENTmv,"ENTmv4: Entorhinal area, medial part, ventral zone, layer 4"
1249,precommissural fornix diagonal band,db,420,1250,745.0,"precommissural fornix, general",fxprg,db: precommissural fornix diagonal band
179,"Lateral visual area, layer 1",VISl1,421,180,409.0,Lateral visual area,VISl,"VISl1: Lateral visual area, layer 1"
654,"Subparafascicular nucleus, parvicellular part",SPFp,422,655,406.0,Subparafascicular nucleus,SPF,"SPFp: Subparafascicular nucleus, parvicellular part"
462,Field CA2,CA2,423,463,375.0,Ammon's horn,CA,CA2: Field CA2
448,"Piriform-amygdalar area, polymorph layer",PAA3,424,449,788.0,Piriform-amygdalar area,PAA,"PAA3: Piriform-amygdalar area, polymorph layer"
192,Posterolateral visual area,VISpl,425,193,669.0,Visual areas,VIS,VISpl: Posterolateral visual area
603,"Medial amygdalar nucleus, posterodorsal part",MEApd,426,604,403.0,Medial amygdalar nucleus,MEA,"MEApd: Medial amygdalar nucleus, posterodorsal part"
375,Ectorhinal area/Layer 2/3,ECT2/3,427,376,895.0,Ectorhinal area,ECT,ECT2/3: Ectorhinal area/Layer 2/3
1251,medial corticohypothalamic tract,mct,428,1252,737.0,postcommissural fornix,fxpo,mct: medial corticohypothalamic tract
954,"Spinal nucleus of the trigeminal, caudal part",SPVC,429,955,386.0,"Medulla, sensory related",MY-sen,"SPVC: Spinal nucleus of the trigeminal, caudal part"
335,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,430,336,886.0,"Retrosplenial area, ventral part",RSPv,"RSPv2/3: Retrosplenial area, ventral part, layer 2/3"
463,"Field CA2, stratum lacunosum-moleculare",CA2slm,431,464,423.0,Field CA2,CA2,"CA2slm: Field CA2, stratum lacunosum-moleculare"
